2019-09-08 09:37:44:884   ReceiveCmdThread:远程主机强迫关闭了一个现有的连接。
2019-09-08 09:37:44:885   ReceiveCmdThread:远程主机强迫关闭了一个现有的连接。
2019-09-08 09:37:44:886   ReceiveCmdThread:远程主机强迫关闭了一个现有的连接。
2019-09-08 09:37:44:887   ReceiveCmdThread:远程主机强迫关闭了一个现有的连接。
2019-09-08 09:37:44:888   ReceiveCmdThread:远程主机强迫关闭了一个现有的连接。
2019-09-08 09:37:44:889   ReceiveCmdThread:远程主机强迫关闭了一个现有的连接。
2019-09-08 09:37:44:890   ReceiveCmdThread:远程主机强迫关闭了一个现有的连接。
2019-09-08 09:37:44:891   ReceiveCmdThread:远程主机强迫关闭了一个现有的连接。
2019-09-08 09:37:44:892   ReceiveCmdThread:远程主机强迫关闭了一个现有的连接。
2019-09-08 09:37:44:893   ReceiveCmdThread:远程主机强迫关闭了一个现有的连接。
2019-09-08 09:37:44:894   ReceiveCmdThread:远程主机强迫关闭了一个现有的连接。
2019-09-08 09:37:44:895   ReceiveCmdThread:远程主机强迫关闭了一个现有的连接。
2019-09-08 09:37:44:896   ReceiveCmdThread:远程主机强迫关闭了一个现有的连接。
2019-09-08 09:37:44:898   ReceiveCmdThread:远程主机强迫关闭了一个现有的连接。
2019-09-08 09:37:44:899   设备：192.168.1.13:12345连接！
2019-09-08 09:37:44:901   ReceiveCmdThread:远程主机强迫关闭了一个现有的连接。
2019-09-08 09:37:44:906   创建设备：192.168.1.13:12345接收线程！
2019-09-08 09:37:44:909   192.168.1.13:12345接收数据：+NAME:????????

2019-09-08 09:37:54:819   当前设备为：192.168.1.13:12345！
2019-09-08 09:37:54:821   创建设备：192.168.1.13:12345发送线程！
2019-09-08 09:37:54:826   当前设备为：192.168.1.13:12345！
2019-09-08 09:37:54:829   创建设备：192.168.1.13:12345发送线程！
2019-09-08 09:37:55:822   192.168.1.13:12345接收数据：+STACH1:0,100000

2019-09-08 09:37:55:831   192.168.1.13:12345接收数据：+OCCH1:0

2019-09-08 09:37:56:022   192.168.1.13:12345接收数据：+STACH1:0,100000

2019-09-08 09:37:56:031   192.168.1.13:12345接收数据：+OCCH1:0

2019-09-08 09:37:56:222   192.168.1.13:12345接收数据：+STACH1:0,100000

2019-09-08 09:37:56:231   192.168.1.13:12345接收数据：+OCCH1:0

2019-09-08 09:37:56:422   192.168.1.13:12345接收数据：+STACH1:0,100000

2019-09-08 09:37:56:431   192.168.1.13:12345接收数据：+OCCH1:0

2019-09-08 09:37:56:485   192.168.1.13:12345接收数据：OK

2019-09-08 09:37:56:623   192.168.1.13:12345接收数据：+STACH1:1,100000

2019-09-08 09:37:56:631   192.168.1.13:12345接收数据：+OCCH1:0

2019-09-08 09:37:56:822   192.168.1.13:12345接收数据：+STACH1:1,100000

2019-09-08 09:37:56:831   192.168.1.13:12345接收数据：+OCCH1:0

2019-09-08 09:37:57:022   192.168.1.13:12345接收数据：+STACH1:1,100000

2019-09-08 09:37:57:031   192.168.1.13:12345接收数据：+OCCH1:0

2019-09-08 09:37:57:222   192.168.1.13:12345接收数据：+STACH1:1,100000

2019-09-08 09:37:57:231   192.168.1.13:12345接收数据：+OCCH1:0

2019-09-08 09:37:57:422   192.168.1.13:12345接收数据：+STACH1:1,100000

2019-09-08 09:37:57:431   192.168.1.13:12345接收数据：+OCCH1:0

2019-09-08 09:37:57:532   192.168.1.13:12345接收数据：OK

2019-09-08 09:37:57:622   192.168.1.13:12345接收数据：+STACH1:1,100000

2019-09-08 09:37:57:631   192.168.1.13:12345接收数据：+OCCH1:0

2019-09-08 09:37:57:822   192.168.1.13:12345接收数据：+STACH1:1,100000

2019-09-08 09:37:57:831   192.168.1.13:12345接收数据：+OCCH1:0

2019-09-08 09:37:58:022   192.168.1.13:12345接收数据：+STACH1:1,100000

