2019-10-14 15:47:14:039   ReceiveCmdThread:远程主机强迫关闭了一个现有的连接。
2019-10-14 15:47:14:069   ReceiveCmdThread:远程主机强迫关闭了一个现有的连接。
2019-10-14 15:47:14:083   ReceiveCmdThread:远程主机强迫关闭了一个现有的连接。
2019-10-14 15:47:14:106   创建设备：192.168.1.45:12345接收线程！
2019-10-14 15:47:14:142   192.168.1.27:12345接收数据：+NAME:????????????8

2019-10-14 15:47:14:175   创建设备：192.168.1.48:12345接收线程！
2019-10-14 15:47:14:189   设备：192.168.1.23:12345连接！
2019-10-14 15:47:14:227   ReceiveCmdThread:远程主机强迫关闭了一个现有的连接。
2019-10-14 15:47:14:257   192.168.1.45:12345接收数据：+NAME:????????????1

2019-10-14 15:47:14:291   ReceiveCmdThread:远程主机强迫关闭了一个现有的连接。
2019-10-14 15:47:14:300   创建设备：192.168.1.23:12345接收线程！
2019-10-14 15:47:14:317   设备：192.168.1.48:12345连接！
2019-10-14 15:47:14:345   ReceiveCmdThread:远程主机强迫关闭了一个现有的连接。
2019-10-14 15:47:14:381   创建设备：192.168.1.48:12345接收线程！
2019-10-14 15:47:14:393   192.168.1.48:12345接收数据：+NAME:????????????4

2019-10-14 15:47:14:400   192.168.1.23:12345接收数据：+NAME:????????????4

2019-10-14 15:47:14:432   192.168.1.23:12345接收数据：+NAME:????????????4

2019-10-14 15:47:14:442   192.168.1.48:12345接收数据：+NAME:????????????4

2019-10-14 15:47:26:050   ListeningThread:一个封锁操作被对 WSACancelBlockingCall 的调用中断。
2019-10-14 15:47:26:080   系统关闭。。。
2019-10-14 15:47:26:086   ListeningThread:无法访问已释放的对象。
对象名:“System.Net.Sockets.Socket”。
2019-10-14 15:47:26:146   ListeningThread:无法访问已释放的对象。
对象名:“System.Net.Sockets.Socket”。
2019-10-14 15:47:26:205   CheckDeviceThread:无法访问已释放的对象。
对象名:“FrmMain2”。
